"Taxonomy_ID_Label","DMP_ASSAY_ID","readcount"
"Acetobacter","case_1",2
"Acetobacter","case_2",2
"Acholeplasma","case_3",1
"Achromobacter","case_4",50
"Achromobacter","case_5",9314
"Achromobacter","case_6",13756
"Achromobacter","case_7",1
"Achromobacter","case_8",1
"Achromobacter","case_9",805
"Achromobacter","case_10",826
"Achromobacter","case_11",1250
"Achromobacter","case_12",8
"Achromobacter","case_13",4979
"Achromobacter","case_14",879
"Achromobacter","case_15",6838
"Achromobacter","case_16",3395
"Achromobacter","case_17",20
"Achromobacter","case_18",10
"Achromobacter","case_19",16
"Achromobacter","case_20",18
"Achromobacter","case_21",4435
"Achromobacter","case_22",734
"Achromobacter","case_23",11071
"Achromobacter","case_24",12309
"Achromobacter","case_3",8358
"Achromobacter","case_25",906
"Achromobacter","case_26",6277
"Achromobacter","case_27",1944
"Achromobacter","case_28",2310
"Achromobacter","case_29",20
"Achromobacter","case_30",55
"Achromobacter","case_31",2002
"Achromobacter","case_32",31
"Achromobacter","case_33",146
"Achromobacter","case_34",7
"Achromobacter","case_35",2
"Achromobacter","case_36",1
"Achromobacter","case_37",10
"Achromobacter","case_38",1
"Achromobacter","case_39",1
"Achromobacter","case_40",1
"Achromobacter","case_41",405
"Achromobacter","case_42",2
"Achromobacter","case_43",11
"Achromobacter","case_44",11
"Achromobacter","case_45",2
"Achromobacter","case_46",1
"Achromobacter","case_47",1
"Achromobacter","case_48",2
"Achromobacter","case_49",3
"Achromobacter","case_50",6
"Achromobacter","case_51",1
"Achromobacter","case_52",2
"Achromobacter","case_53",2
"Achromobacter","case_54",4
"Achromobacter","case_55",1
"Achromobacter","case_56",1
"Achromobacter","case_57",2
"Achromobacter","case_58",2
"Achromobacter","case_59",2
"Achromobacter","case_60",1
"Achromobacter","case_61",1
"Achromobacter","case_2",6
"Achromobacter","case_62",1
"Achromobacter","case_63",2
"Achromobacter","case_64",1
"Achromobacter","case_65",2
"Achromobacter","case_66",1
"Achromobacter","case_67",2
"Achromobacter","case_68",1
"Acidaminococcus","case_69",1
"Acidaminococcus","case_70",19
"Acidaminococcus","case_1",1
"Acidaminococcus","case_71",16
"Acidaminococcus","case_72",6
"Acidaminococcus","case_47",46
"Acidaminococcus","case_73",4
"Acidaminococcus","case_74",11
"Acidaminococcus","case_75",4
"Acidaminococcus","case_76",1
"Acidaminococcus","case_77",2
"Acidaminococcus","case_78",1
"Acidaminococcus","case_79",3
"Acidiphilium","case_5",16
"Acidiphilium","case_23",5
"Acidiphilium","case_3",3
"Acidiphilium","case_31",4
"Acidiphilium","case_40",1
"Acidiphilium","case_2",2
"Acidiphilium","case_80",1
"Acidiphilium","case_81",1
"Acidiphilium","case_82",2
"Acidiphilium","case_67",1
"Acidipropionibacterium","case_5",2
"Acidipropionibacterium","case_83",2
"Acidipropionibacterium","case_84",1
"Acidipropionibacterium","case_40",1
"Acidipropionibacterium","case_85",1
"Acidipropionibacterium","case_42",1
"Acidipropionibacterium","case_86",1
"Acidipropionibacterium","case_56",1
"Acidipropionibacterium","case_87",1
"Acidipropionibacterium","case_88",1
"Acidipropionibacterium","case_2",5
"Acidipropionibacterium","case_89",2
"Acidipropionibacterium","case_73",1
"Acidipropionibacterium","case_77",1
"Acidipropionibacterium","case_90",1
"Acidipropionibacterium","case_91",1
"Acidipropionibacterium","case_92",1
"Acidithiobacillus","case_6",1
"Acidithiobacillus","case_18",1
"Acidithiobacillus","case_21",2
"Acidithiobacillus","case_26",1
"Acidithiobacillus","case_31",2
